gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
1,1,2,3,0,6,9715,2,2,1,66000
1,1,1,1,0,6,4005,2,0,2,102780
0,0,2,3,1,3,0,1,2,2,35760
1,1,1,2,1,7,3247,2,2,0,172440
1,1,1,2,1,8,3020,2,1,2,64176
0,1,1,1,1,6,3838,2,2,0,66132
0,0,1,2,0,7,2985,2,1,1,62592
0,1,2,3,1,7,5676,2,0,2,334836
0,1,1,2,1,7,0,1,2,0,35988
1,1,1,2,0,7,7174,2,1,1,69360
0,0,1,2,1,4,0,1,0,0,72492
0,1,1,1,0,5,5612,1,1,0,31908
1,1,1,2,0,6,3426,2,2,1,100764
0,1,1,1,1,2,7269,2,2,1,64644
0,1,2,1,0,6,5555,2,2,0,72432
1,1,2,1,0,3,4449,2,2,2,45924
0,0,2,3,0,6,0,1,1,2,34272
0,1,2,1,0,2,6800,2,1,2,515556
0,1,1,2,0,6,13304,2,2,2,360924
0,1,2,3,1,1,5854,2,2,2,291300
0,1,2,2,0,7,3957,2,2,0,101880
1,1,1,1,1,5,9876,2,2,2,76380
0,0,2,2,1,5,0,2,1,2,94188
0,1,2,1,0,7,2378,2,1,2,69804
0,1,2,2,0,3,5528,1,2,2,31452
0,0,2,3,1,3,7239,2,1,1,119028
1,1,2,1,1,6,3920,2,2,1,55344
0,1,2,2,0,2,5172,1,2,0,108492
0,1,1,2,0,7,3901,1,1,2,58560
0,0,1,1,0,1,0,2,0,0,55404
1,0,2,2,1,4,3097,1,2,2,34368
1,1,1,2,1,8,6324,2,2,1,94692
0,0,1,2,0,2,0,2,1,0,128748
0,1,1,2,1,3,3760,1,2,2,66084
1,1,1,1,0,6,5803,2,2,0,73632
0,0,2,2,1,3,2951,2,1,1,267360
1,1,1,2,0,3,2873,2,2,0,101064
1,0,1,2,0,6,2302,2,1,2,58752
1,0,1,2,0,4,0,2,2,1,112368
0,1,1,2,0,7,8641,2,0,1,70584
0,0,2,2,0,0,5116,1,1,2,28332
0,1,2,1,1,6,3576,1,2,0,58812
1,1,1,2,1,7,3810,2,2,1,153648
0,0,1,3,0,6,0,2,1,2,99900
0,1,2,1,0,4,12260,2,2,1,131616
1,0,2,3,1,7,0,1,1,2,38280
0,0,2,3,1,5,2280,2,2,2,103740
1,1,2,1,0,3,5473,2,2,0,61728
1,0,2,1,1,2,2557,2,2,1,69936
0,1,2,2,0,4,8788,2,0,0,73944
1,0,2,3,1,5,0,2,1,0,98232
1,1,1,1,1,5,5683,2,2,2,65664
1,1,2,1,0,1,6706,1,1,2,31116
0,0,1,3,0,3,0,2,1,2,61200
0,0,2,3,1,6,0,2,1,0,147648
0,1,2,1,0,4,6745,2,2,0,99624
0,1,2,2,1,7,7720,2,0,1,71124
0,1,1,2,0,6,6017,2,2,2,65772
0,1,2,2,1,4,2366,1,2,1,47784
1,1,2,2,1,8,5841,2,2,1,146556
1,1,2,1,0,7,5639,2,2,0,32688
1,0,1,3,1,6,0,1,1,2,34884
0,1,1,3,0,7,4640,1,1,0,68040
0,1,2,1,1,6,4998,2,1,0,70008
1,1,1,2,1,8,6100,1,2,0,52788
0,0,2,2,1,3,0,1,2,1,31188
0,0,1,2,0,7,0,2,1,0,66024
1,1,1,0,0,5,6374,1,2,2,36420
1,0,1,1,0,1,0,2,0,2,158028
0,1,1,2,0,5,15311,1,2,2,34980
1,0,1,2,1,1,2386,1,0,2,34656
1,1,2,0,0,1,3964,2,2,2,103824
1,1,1,2,1,5,5472,2,2,2,132780
0,1,1,2,0,4,5245,2,1,2,61752
1,1,1,2,0,6,6365,2,2,2,70020
0,1,2,3,1,3,5843,1,2,2,32808
1,1,1,1,0,1,5195,2,2,2,68436
0,0,2,2,1,8,2833,1,1,0,60720
0,0,1,3,1,4,0,1,1,0,32940
0,1,1,2,0,5,10116,2,2,2,109344
0,0,2,2,1,6,2118,2,1,2,175572
0,1,1,2,1,6,2467,2,2,2,59544
1,0,1,2,1,8,2678,2,1,0,69084
0,1,2,1,1,6,4335,1,1,0,68748
0,1,1,3,1,5,5628,1,2,1,39300
0,0,0,2,1,2,0,1,2,2,59436
0,1,2,1,1,5,3770,2,0,2,68460
1,1,2,2,0,3,3900,2,2,2,62172
0,1,2,2,1,4,3737,1,2,0,53484
0,1,2,1,0,2,2369,2,0,2,77568
0,1,2,1,0,8,7120,2,2,1,53568
1,0,2,2,1,7,0,1,1,2,60468
0,0,1,3,1,5,0,2,1,1,90732
1,1,1,3,1,4,3771,2,2,2,64644
0,0,1,2,1,6,3490,1,1,0,35052
0,1,2,2,0,8,4142,2,2,1,105648
0,1,1,2,1,1,4054,2,2,1,67380
0,1,1,1,1,4,8804,2,1,2,130752
0,0,2,3,1,8,0,2,2,0,63672
0,1,2,2,1,4,6513,2,1,2,67032
0,1,1,1,0,7,5452,2,2,2,58716
0,1,1,1,0,6,5123,1,2,1,32508
0,1,2,1,1,7,0,1,1,0,59616
0,0,1,2,0,7,0,2,0,1,68988
0,1,1,1,1,6,7782,1,2,2,55476
1,0,1,3,0,7,2528,2,2,2,56028
0,1,2,2,0,7,2460,1,2,0,48240
0,0,2,3,0,5,0,1,2,2,30744
0,1,2,1,1,6,5460,1,1,0,58500
1,0,2,1,0,6,5963,2,1,0,69516
0,1,1,2,1,6,5611,2,0,2,88068
0,1,2,2,0,7,2363,1,2,2,33612
0,1,2,2,1,7,4343,2,2,2,296832
0,1,1,2,1,2,4448,2,2,2,246876
1,1,1,1,1,2,8603,2,2,2,398700
0,1,0,1,0,7,3895,1,1,1,67140
0,1,1,2,0,3,7171,2,0,2,94980
1,1,2,3,1,7,0,1,1,0,66324
0,1,1,2,1,7,5561,1,2,1,47520
1,1,1,1,1,6,5603,1,2,0,50292
1,0,1,1,1,6,0,2,2,1,141048
1,0,1,2,1,0,5525,1,2,2,58068
0,1,1,1,1,5,3706,1,2,1,28728
1,0,1,2,1,2,0,1,1,2,32220
0,0,2,2,1,8,0,1,2,2,51420
1,1,2,3,0,7,7447,2,2,2,100440
0,1,1,2,0,6,3931,1,2,1,33360
0,1,1,3,0,2,6361,2,2,2,499656
0,0,2,2,1,4,2572,1,1,2,31344
1,1,2,3,0,3,0,1,2,2,67560
1,1,2,0,0,6,7260,2,1,0,51684
0,0,2,2,0,4,0,1,2,2,52800
1,1,1,2,1,6,3650,2,2,2,69456
0,1,2,2,1,6,6507,2,2,2,200088
0,1,1,3,1,4,4127,2,2,0,102036
1,0,1,2,0,4,4784,2,2,1,272244
0,1,1,1,0,1,16871,2,2,2,65376
1,0,1,2,1,3,2993,1,1,2,60168
1,1,1,2,1,5,8365,1,2,0,76080
0,1,1,2,0,2,7361,1,2,1,34332
1,0,1,3,1,6,3615,1,1,0,53292
0,1,1,3,0,5,6350,2,2,1,63312
0,1,1,2,1,4,4303,2,2,2,60492
0,1,1,1,1,2,5820,1,2,2,71520
0,0,1,2,1,2,0,1,2,1,31008
1,1,1,1,0,6,3935,1,2,1,31068
0,1,1,2,0,5,10855,2,2,2,102696
1,0,1,2,1,4,2425,1,2,2,50244
1,0,1,2,0,1,0,1,1,0,35364
1,1,1,2,1,5,3751,1,2,2,63804
0,1,2,2,0,3,10268,2,2,2,106536
1,0,1,2,1,4,0,1,0,1,63756
0,1,2,2,1,2,0,2,2,2,34032
0,1,1,2,1,2,14698,2,2,2,172260
0,1,1,1,0,5,7505,1,1,2,65712
0,1,2,2,1,5,6158,2,2,1,58380
1,0,1,2,0,6,3941,1,2,2,29796
0,0,1,2,1,3,4242,2,2,1,63948
0,1,2,2,1,1,6278,1,2,0,75192
1,1,1,2,1,4,5843,2,2,2,96492
1,1,1,1,1,3,5005,1,2,2,30900
0,1,1,3,0,4,3986,2,2,2,62664
1,1,1,2,1,4,10558,1,2,1,57780
0,0,1,3,0,3,3459,2,1,2,64248
1,1,1,2,0,7,3749,1,2,2,66072
1,0,2,2,1,6,0,2,1,2,62040
1,1,1,2,1,3,3735,2,2,2,56448
1,0,2,1,1,7,4120,2,1,0,110316
0,1,1,2,1,8,6706,1,2,1,58608
0,0,2,2,1,6,0,2,2,1,65388
0,1,1,2,1,8,11386,2,1,0,73440
0,0,1,2,0,4,0,1,2,2,30492
1,1,2,2,0,3,10974,2,2,2,102084
0,1,2,2,1,7,2452,2,1,1,70272
0,0,1,2,1,5,8392,2,2,1,99132
0,1,2,2,0,7,6992,2,2,0,64848
0,1,1,2,1,7,5803,2,1,2,211608
1,1,1,2,1,1,0,2,2,0,624216
1,0,1,2,1,4,0,2,2,2,60948
1,1,2,1,0,4,3562,2,2,0,62664
0,1,1,2,0,1,6590,2,2,2,371148
0,1,1,2,1,5,4356,2,1,2,64332
0,1,1,2,0,8,7235,2,2,2,98112
0,1,2,2,1,7,6908,2,2,2,89652
1,0,2,2,1,5,2794,2,0,2,139308
0,1,1,2,1,5,5326,1,1,0,37104
0,1,1,1,0,6,8093,2,1,2,105984
1,1,1,2,0,5,9826,2,2,2,587496
1,1,1,1,1,4,0,2,2,2,162060
1,1,2,3,1,6,2418,2,2,1,32796
1,0,1,3,1,0,3595,2,1,0,73932
1,1,1,2,1,3,4125,1,1,2,65148
1,0,2,3,1,7,2515,1,1,2,35700
1,0,2,3,0,6,0,1,2,1,41892
1,1,2,2,0,5,5020,1,2,1,56112
0,1,1,2,1,8,6521,2,2,2,174924
1,0,1,2,1,2,2552,2,2,1,59568
0,0,2,2,1,1,2861,1,2,2,71892
0,0,1,2,0,7,2385,1,1,0,31632
0,1,1,1,1,2,6034,2,2,1,437460
0,0,1,3,1,6,3364,2,2,2,99144
1,1,0,1,1,4,5691,2,1,1,101004
1,0,1,3,1,6,0,1,2,2,69948
1,1,1,2,1,3,5686,1,1,2,71292
1,1,1,1,1,3,5454,2,2,2,96408
0,1,2,1,1,8,15046,2,2,2,155520
1,1,2,3,1,6,3986,2,2,2,108924
1,1,2,2,1,4,2570,2,2,2,111012
1,0,2,3,1,7,0,2,1,2,60624
1,1,1,2,0,6,0,1,2,2,47376
1,1,2,2,1,2,0,2,2,2,299556
0,1,2,2,1,3,0,2,2,0,110100
0,0,2,3,0,8,0,2,1,1,59964
1,1,1,1,1,1,2375,2,0,2,261240
0,1,1,1,1,7,3682,2,1,1,180120
1,1,2,2,1,1,3778,2,1,1,102024
1,1,1,2,0,0,6350,2,2,0,65088
0,0,2,3,1,8,0,2,1,0,99960
0,0,2,2,1,2,0,1,1,2,36720
0,1,2,3,1,6,4101,1,2,2,31896
0,0,2,2,0,3,0,2,2,1,223320
0,1,1,2,1,5,0,2,2,1,298944
1,1,1,2,1,2,6608,2,2,1,92916
1,1,2,1,1,6,3074,2,1,2,68688
1,1,2,2,1,6,5432,2,2,2,92988
0,1,1,2,0,8,4217,2,2,1,96528
1,1,1,2,1,5,2372,2,2,2,64260
1,1,2,1,0,7,12245,2,1,1,183348
1,1,1,2,1,4,4082,2,1,2,79380
0,1,2,2,1,5,3800,1,1,0,99168
1,1,1,1,1,1,8467,2,1,1,142992
1,1,1,2,0,4,0,1,2,2,58044
0,1,2,2,1,6,9021,2,1,2,103452
0,0,1,3,0,4,4604,1,2,2,34536
0,1,1,2,0,7,3078,2,1,2,66684
1,0,2,2,0,4,0,2,2,0,163212
1,1,2,1,1,4,6312,2,2,0,167340
1,1,2,2,0,2,5683,1,2,2,67200
1,1,2,1,1,0,4328,1,2,1,31032
0,1,2,2,0,5,13268,1,2,2,103632
0,0,2,2,1,6,0,2,2,0,62940
0,1,1,2,1,5,6261,2,2,1,262476
0,1,1,3,1,8,4034,2,2,1,58428
0,1,1,2,1,4,2315,1,1,0,39108
1,0,1,3,1,5,6227,1,2,1,33144
0,1,1,1,0,6,5375,2,2,2,68448
1,1,1,2,1,6,3841,2,1,2,97368
0,0,2,1,1,4,0,1,1,0,59292
1,1,1,2,1,6,3899,2,2,0,65736
0,1,1,2,0,2,4626,2,2,2,246084
0,1,1,1,1,3,6250,2,2,2,251196
1,1,1,1,1,4,4433,1,2,1,31476
1,1,1,2,1,6,0,1,2,2,35220
0,0,1,2,0,4,0,1,2,2,29124
0,0,1,1,0,4,2730,2,2,0,120708
0,1,2,1,1,1,4328,2,2,2,57444
1,1,2,2,1,7,4053,2,2,2,73344
1,1,0,2,0,5,5556,1,2,0,38112
0,0,1,2,0,3,2855,2,2,0,107484
1,1,1,1,0,6,5926,2,2,2,76920
0,1,1,3,1,8,5532,2,2,2,223908
0,1,1,2,0,5,16127,2,2,1,141156
1,1,1,3,0,4,5133,2,2,1,64896
0,0,1,1,0,5,3840,2,2,2,29940
1,0,1,3,1,6,0,2,2,2,66888
1,1,1,2,1,5,0,2,2,2,94872
0,1,1,2,1,4,4548,2,2,0,72708
1,1,1,1,1,6,6560,2,1,2,66132
0,1,2,2,1,5,3175,1,2,1,64992
1,1,1,1,1,6,6816,1,1,2,34512
1,1,2,2,0,7,4593,2,2,2,274596
1,1,2,1,0,7,2919,2,1,0,67464
1,1,2,2,1,6,0,1,1,0,32892
0,0,0,2,0,2,0,2,2,1,50868
1,1,2,1,0,2,10379,2,2,1,145692
1,1,2,2,1,1,2013,1,0,1,30252
0,1,1,3,0,4,2562,2,2,2,104976
1,0,2,3,0,8,0,1,2,2,48300
0,1,2,1,0,6,0,1,1,0,36948
1,1,2,1,1,5,7462,2,2,1,66996
1,1,1,2,0,1,5860,1,2,0,33936
1,1,2,2,0,5,16511,2,2,2,90432
1,1,1,2,1,6,2731,1,0,0,35400
1,1,2,2,1,4,6395,1,2,2,29400
1,1,2,3,1,6,0,2,1,2,111780
1,0,1,2,1,4,2691,1,2,2,35016
1,0,1,2,0,0,0,1,1,2,57216
1,1,1,1,1,7,8275,2,2,2,265716
1,1,2,2,1,2,0,2,0,0,176712
1,1,0,2,1,3,5067,1,0,2,33204
0,1,2,2,1,6,5758,2,2,2,352560
1,1,1,2,0,4,6130,2,1,0,297492
0,1,1,2,1,4,5267,1,2,1,34872
1,1,1,2,0,5,10482,2,2,2,102408
0,1,2,2,1,7,4111,2,2,2,58464
1,1,2,2,0,2,5762,2,2,2,113220
0,1,2,1,1,7,5882,1,2,2,29484
0,0,1,2,1,0,3290,1,2,0,30096
1,1,2,1,0,8,0,1,1,2,57804
0,0,1,3,0,7,3571,2,2,1,72948
1,1,1,1,0,7,6809,2,2,2,62268
1,0,1,2,0,7,2254,2,2,0,70104
1,1,1,2,0,3,6696,1,0,2,98616
1,1,1,2,0,6,6295,1,2,0,102888
0,1,2,2,1,6,0,1,2,2,55080
1,1,2,3,1,2,6268,2,2,0,276132
0,1,2,2,1,1,3607,2,2,2,68292
0,0,1,3,0,6,2916,2,0,0,105048
0,1,1,1,1,5,4132,2,2,0,103272
0,0,1,2,0,1,3311,1,0,2,53892
0,1,1,2,0,4,4676,2,1,0,145320
1,1,2,1,1,1,5011,2,2,2,66072
0,1,2,2,1,0,5722,1,2,0,37164
0,1,2,2,0,8,4200,2,1,2,48912
1,0,1,3,0,5,0,2,1,2,106920
0,1,2,2,0,6,6176,1,2,2,29772
0,1,1,2,1,8,5743,1,2,2,181632
0,1,1,1,1,3,5419,2,1,0,65844
1,1,1,2,1,7,3051,2,1,1,70080
0,0,2,2,1,0,0,2,0,0,50376
0,1,1,2,0,7,10077,2,2,0,95316
0,0,2,2,1,4,2880,2,1,0,49644
1,0,2,3,0,4,0,1,1,2,33816
1,1,2,1,0,8,5514,2,2,2,195492
1,0,1,2,1,7,2623,2,1,2,58512
0,1,1,2,1,6,6362,1,2,1,62280
0,1,1,2,1,8,3860,1,1,0,52680
0,1,2,2,0,7,3711,2,1,0,63468
0,1,2,0,1,4,3651,2,2,2,159036
0,1,1,1,1,2,5404,2,2,1,59580
0,1,2,2,0,0,4913,2,2,2,104868
0,1,2,2,1,4,7116,2,2,2,70908
1,1,2,2,0,2,8736,2,2,2,195612
1,1,2,1,0,6,6386,2,2,2,168204
0,1,1,2,1,5,5786,2,2,1,187872
1,1,1,2,0,8,6905,2,1,1,65004
0,1,1,1,0,7,5859,1,1,2,30456
0,0,2,2,0,2,4095,2,1,0,57036
0,0,2,3,1,2,0,1,1,0,31860
1,1,1,3,0,8,5876,2,1,1,62184
0,1,2,1,0,4,5885,2,1,2,63264
0,1,1,0,0,7,5129,2,2,2,82068
0,1,2,3,1,6,4548,1,2,2,31284
0,1,1,2,1,8,6292,2,2,2,64488
1,0,1,3,0,8,0,2,1,0,70020
1,0,1,2,1,6,0,2,1,1,60804
0,1,1,2,1,4,0,1,2,2,65472
0,1,2,1,1,4,3245,2,2,2,98820
0,1,2,1,1,5,6662,1,0,0,70320
1,1,1,1,0,2,0,1,1,2,31056
0,0,0,2,1,4,3200,1,2,2,32760
1,1,1,1,1,5,7719,2,2,2,64368
1,1,1,2,0,1,8261,1,0,2,34728
1,0,1,2,1,5,0,2,2,0,70872
1,0,0,2,0,2,6284,1,0,0,55584
0,1,2,2,1,5,2271,1,2,1,34824
0,1,2,1,0,2,12854,2,2,2,96612
1,0,1,2,1,5,0,2,2,2,48072
0,0,2,2,1,4,0,2,2,2,108468
0,1,1,2,1,5,6133,2,2,2,72936
0,0,1,2,1,3,0,2,2,2,270168
1,1,1,3,1,3,6983,2,2,2,65796
0,1,2,1,0,7,0,1,0,2,35568
1,1,1,2,1,6,0,2,2,0,68100
0,0,2,2,0,6,4061,2,2,1,571416
1,0,1,2,1,1,3868,2,1,0,67728
0,1,2,2,0,1,2514,2,1,0,63252
1,0,2,3,1,6,2138,2,2,0,75984
1,0,2,2,1,3,0,1,2,2,30768
0,0,2,2,0,6,6708,2,2,1,68808
0,1,2,2,1,3,3046,2,2,2,55272
0,1,2,1,0,7,5973,2,2,2,542160
1,1,1,2,0,0,5944,2,2,2,70968
0,1,0,2,1,2,5104,1,1,2,36660
1,1,1,1,0,7,4490,2,2,2,190680
1,0,2,2,0,6,2822,2,1,2,56328
0,0,2,2,1,7,0,2,1,0,68052
0,0,1,3,0,2,4597,2,2,0,99120
1,1,2,3,1,4,6061,1,2,2,63900
1,0,1,2,1,7,2141,2,2,0,64788
0,1,2,2,1,6,10948,2,0,0,99744
1,1,1,2,1,8,2367,2,2,2,111828
1,1,1,2,0,1,2305,2,0,2,103680
1,1,2,1,0,4,9321,1,2,1,60576
1,0,1,3,0,1,0,1,2,0,61176
0,0,1,2,1,8,3920,1,1,2,37056
0,0,2,2,0,8,2650,2,0,1,62724
0,1,1,1,1,2,5430,2,2,1,68256
1,1,2,2,1,6,0,1,2,2,57588
1,1,1,2,1,6,6196,1,2,2,54372
0,1,2,2,1,6,0,2,1,2,59424
0,1,2,2,1,8,2988,2,2,2,108828
1,1,1,2,0,7,5642,1,1,2,69852
0,0,2,2,1,3,0,1,1,2,33288
1,1,2,1,0,6,3793,2,2,2,443220
0,0,2,2,1,2,0,1,2,0,36468
0,1,1,3,1,6,6668,1,1,1,38364
1,0,2,1,0,7,3849,2,0,0,380532
0,1,2,3,1,5,3799,1,2,0,64644
0,1,0,2,0,4,5221,1,2,1,30792
0,1,2,1,0,6,5482,2,1,2,63804
1,1,1,2,0,2,8939,2,0,0,68772
1,1,2,1,0,2,6371,2,2,2,56784
1,1,0,2,1,3,6137,2,2,2,62952
0,0,1,2,0,8,2537,2,2,1,63552
1,1,1,2,0,6,0,2,1,2,66480
1,0,1,3,0,6,0,1,1,2,32628
0,1,2,2,0,0,5321,1,2,0,31440
0,1,2,3,1,5,4245,2,0,2,290376
0,1,1,2,1,0,0,2,2,2,95724
0,1,1,3,1,5,2064,2,2,1,487428
1,1,2,2,1,8,4593,1,0,1,36720
1,1,1,3,0,5,7489,2,2,1,113964
0,1,1,2,1,0,0,1,2,1,33360
1,1,1,3,1,8,2811,2,2,1,279360
1,1,1,1,1,8,2501,2,1,0,60816
1,0,1,2,1,4,4289,1,2,2,31416
1,1,1,2,0,3,6633,2,2,2,112116
0,1,2,2,0,7,0,2,1,0,68436
0,1,1,2,1,6,17571,1,2,2,120204
0,1,1,2,1,4,4351,1,2,2,30768
1,1,1,0,0,7,5677,1,2,2,31632
1,0,1,3,0,0,0,2,2,1,321036
0,1,2,3,0,4,6095,2,2,2,101172
0,0,2,3,0,6,2055,2,1,2,108528
0,1,1,1,1,7,4864,2,2,0,102708
0,1,1,1,1,4,10183,2,2,0,146328
1,1,2,2,1,4,5079,1,2,1,29172
0,1,1,2,1,5,3273,2,1,2,64404
1,0,1,2,1,3,2090,1,1,2,55272
1,0,0,1,1,2,0,2,1,0,109644
0,1,1,2,1,2,5925,2,1,2,92496
0,0,1,3,1,5,7409,2,2,2,66372
0,0,2,2,1,7,0,1,2,2,28716
0,1,1,2,0,8,0,1,1,0,32604
0,1,1,2,1,6,6785,1,1,0,32760
0,1,0,2,1,2,3617,1,2,2,57108
0,1,2,1,1,6,0,2,1,2,117288
0,1,2,3,0,4,0,2,2,0,183408
0,1,1,2,0,8,4173,2,2,1,68964
0,1,2,3,1,0,4159,2,2,0,88680
1,1,1,2,1,7,5925,2,2,2,88068
1,1,2,2,1,5,6589,2,2,1,130464
0,1,0,1,0,4,7641,2,1,2,65124
1,0,1,1,1,5,0,1,2,2,33672
0,1,2,1,1,0,4296,1,2,0,33516
1,1,2,2,1,1,6115,1,1,1,34272
0,0,1,3,1,6,3353,2,2,1,54780
0,1,1,2,1,4,0,1,2,2,30528
1,1,1,1,1,7,2805,1,2,2,27684
0,1,1,1,1,4,5076,2,0,1,32592
1,1,2,1,1,6,5690,1,2,1,66660
1,1,2,2,1,5,3751,1,2,1,65700
0,1,0,2,0,6,3781,2,2,2,87276
0,1,2,2,0,7,0,1,0,0,59076
0,1,1,3,1,7,4284,2,2,0,227256
1,0,1,3,0,6,2730,1,1,2,32796
1,0,1,2,1,2,2321,2,2,2,60936
1,1,1,1,1,3,0,2,1,2,150660
0,0,2,2,1,6,0,1,2,2,29892
